pl_name,pl_orbsmax,pl_radj,pl_dens
NGTS-6 b,0.01677,1.326,0.711
NGTS-8 b,0.035,1.09,0.89
NGTS-9 b,0.058,1.07,2.93
Qatar-1 b,0.02332,1.143,1.076
Qatar-10 b,0.0286,1.543,0.248
Qatar-2 b,0.02153,1.254,1.573
Qatar-3 b,0.03783,1.096,4
Qatar-4 b,0.02803,1.135,5.1
Qatar-5 b,0.04127,1.107,3.95
Qatar-7 b,0.0352,1.7,0.502
Qatar-8 b,0.0474,1.285,0.216
Qatar-9 b,0.0234,1.009,1.43
